"time","x_acc","y_acc","z_acc"
"1.042","0.04490662482753396","-0.1000467666387558","-0.24113515323996543"
"1.059","0.0368234177455306","-0.003132452806830406","-0.11559329533874987"
"1.075","0.013294073598086834","0.02401566635966301","-0.04870177932679653"
"1.092","-0.01734088303716853","-0.0025870938837528226","0.03919511531293392"
"1.109","0.01306141561968252","-0.07780161708295345","0.06397533630430698"
"1.125","-0.007242956865578889","-0.0867576614767313","-0.011377718582749366"
"1.142","0.03763590317219496","-0.005936404311656951","-0.10067629671394825"
"1.159","0.016015753646939992","-0.03788929341137409","-0.15844167246222496"
"1.175","0.0201959619410336","-0.026543723532557486","-0.21879589565992355"
"1.192","0.006673778675496578","-0.023249358162283896","-0.17955460311770438"
"1.209","-0.03878989551290869","-0.05302607226669788","-0.1288075816988945"
"1.225","-0.026887714664638043","-0.05262158311903476","-0.10279226595461367"
"1.242","-0.02742898193448782","-0.03860591724812984","0.02047463275194168"
"1.259","-0.0204389769166708","-0.0017500585377216338","0.06973112335205078"
"1.275","-0.03710135790407657","-0.028012627041339874","0.08231061893999576"
"1.292","-0.04589039343418553","-0.02167757880091667","0.017275544449687003"
"1.309","-0.04547434171289205","0.004956745624542236","-0.0980289970755577"
"1.325","-0.029707302130013703","0.011882745495438576","-0.083158760201931"
"1.342","-0.02570071510346606","-0.004202127864956855","-0.13920213446319102"
"1.359","-0.0131952893987298","0.06307166546285152","-0.16936872466802597"
"1.375","-0.03326134134978056","0.06010287878513336","-0.1666138730019331"
"1.392","-0.03578340717330575","-0.02157353390455246","-0.20220833347439765"
"1.409","0.02354337267279625","-0.114080552688241","-0.20306758065223693"
"1.425","0.047832303015887735","-0.14117021966576576","-0.16061141771674156"
"1.442","0.08311185232028365","-0.1499251885294914","-0.046530280506610865"
"1.459","0.05772124434560537","-0.14016776462495326","-0.0473830979436636"
"1.475","0.05235737922489643","-0.10465279912948608","-0.034927520996332166"
"1.496","0.02881035329028964","-0.00022211831808090208","0.07530044791698455"
"1.509","0.029908085399121043","0.005918868654966354","0.12063187402784824"
"1.525","0.031207039168477058","-0.04692424826025963","0.22707915535867212"
"1.542","0.02187368589490652","-0.10176409195065497","0.24535306319594383"
"1.559","0.047468292009085415","-0.09339140040278435","0.0983341175019741"
"1.575","0.04476590118259191","-0.06621463966369628","-0.030810148805379866"
"1.592","0.07040873035266995","0.05343114593625068","-0.41320378451645373"
"1.609","0.001925415104627609","-0.02718962022066116","-0.7186743395447731"
"1.625","0.00355447761118412","-0.10991291161477565","-0.7668231611639261"
"1.642","0.05025542024327442","-0.15868600261211394","-0.867587720683217"
"1.659","0.1474365865841508","-0.1316051034629345","-0.9723042326986789"
"1.675","0.31726781419739125","-0.18900515303015708","-1.0800199265301227"
"1.692","0.2404639759801328","-0.1212391922712326","-1.0416799667418002"
"1.709","-0.07058949374705553","0.06867723038494586","-0.2655763515353203"
"1.725","-0.22314751499816773","0.0656476534307003","0.10071896681189536"
"1.742","-0.2046970815502107","0.012551438537240028","0.3355360229462385"
"1.759","-0.14905805030614136","-0.05982815349698067","0.6966881331861019"
"1.775","-0.11595597290499135","0.009154197314381598","1.177087385097146"
"1.792","-0.13156564823538064","0.11965630699396133","1.368841544574499"
"1.809","-0.2054063805970363","0.20668167949616909","1.4244868594288824"
"1.825","-0.06308350203111768","0.1514817703217268","1.2354799528330564"
"1.842","-0.05999021219089627","0.0260159002661705","1.0026040938943623"
"1.859","0.0629264117732644","0.10750760403871536","0.3592255260914564"
"1.875","0.012756610287097282","0.18907588017880916","0.08001344791352748"
"1.892","-0.026444060267077293","0.16125789892673492","0.11895780333578586"
"1.909","-0.1347599142320454","0.03355447907745838","0.08972235650122165"
"1.925","-0.038774113421887156","-0.15426467903852462","-0.2443430093705654"
"1.942","0.034004853193461894","-0.2244312711983919","-0.6217348912715911"
"1.959","0.19055223634168506","-0.12578969518244265","-0.9210597831517457"
"1.975","0.14125409855693577","-0.012796353209018707","-0.6672264763802289"
"1.994","-0.01770166090726852","-0.23444062403738497","-0.4859387658596038"
"2.009","0.024457418777793644","-0.2819271823555231","-0.5925532204508781"
"2.025","0.07482800809964538","-0.2747159358024597","-0.6722317373216152"
"2.042","0.05077638451061211","-0.14996201340854168","-0.4480155701786279"
"2.059","0.028409371273964642","-0.10678747307062149","-0.2961187893152237"
"2.075","0.06258271290212869","-0.10937748956382273","-0.20495733992159365"
"2.092","0.11458499507904052","-0.06497486873567104","-0.25583003354668615"
"2.109","0.11515548844337463","-0.0046259062349796294","-0.17688976782262325"
"2.125","-0.009595949732512234","0.014934534281492232","-0.06994213575422763"
"2.142","-0.049465895567089316","-0.10372983906567096","-0.12625731269419194"
"2.159","-0.030525203517312183","-0.17046178060173986","-0.2709101137787103"
"2.175","0.0850821294799447","-0.30969723281264305","-0.6671645170599222"
"2.192","0.14235007710009812","-0.5623842921584844","-1.6668500931590795"
"2.209","0.02911941923946142","-0.7469599383085965","-2.5641098985284567"
"2.225","0.4579877693450078","-0.5408008213818073","-3.803127962359786"
"2.242","0.31911344206407666","-0.6115583651721477","-3.617257600224018"
"2.259","0.2644350360130891","-0.4982365218967199","-3.2021915289670226"
"2.275","0.025493629957735537","-0.29783319201767444","-1.995888570779562"
"2.292","-0.11034284573094919","-0.00748889445066452","-0.8148451415330171"
"2.309","-0.136760878790915","0.1061550203859806","-0.19151684359014032"
"2.325","-0.05456570292413234","0.2973345948457718","0.4303764531135559"
"2.342","0.11355973455137572","0.6153343765795231","0.8068991509646177"
"2.359","0.1675806722074747","0.7952139738678932","1.1714648690402507"
"2.375","-0.06588759966641664","1.1895926464051008","1.9437544789165258"
"2.392","-0.15454963345974682","1.2682242845714091","2.2978736217796802"
"2.409","-0.14408815293908117","0.9928110141545533","2.3853490761369467"
"2.425","-0.1192065173998475","0.9142553638339043","2.4289526555418965"
"2.441","-0.1046805639192462","0.8281599656581878","2.7734569978415964"
"2.459","-0.06996697793453932","0.6863561242640018","3.268455268469453"
"2.475","-0.08703618615716695","0.5602817669212817","3.3858746101915833"
"2.492","-0.1398433458430227","0.19781740503907203","3.477197387626767"
"2.509","-0.2874225649014115","-0.0358843833297491","2.8605788164556025"
"2.525","-0.30982144371420145","0.028737434184551238","2.302652088227868"
"2.542","-0.1826364947810769","0.2156090823173523","0.9839876562297344"
"2.559","0.006219605167210102","0.1773965483009815","0.03223521317243576"
"2.575","0.040893151402473446","0.1513905849069357","-0.23235914158821105"
"2.592","0.093851702257758","0.17908464751839637","-0.4506313056349754"
"2.609","0.04508475787341595","-0.04244681058526039","-0.6629658963263034"
"2.625","0.06136603058874607","-0.08743862947821616","-0.7572463545233011"
"2.642","0.09624006783217191","-0.03497019109427929","-0.8738567179501057"
"2.659","0.062085851029586046","-0.16420798090398311","-1.1838853746742009"
